"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","TABLE_TYPE"
EDU_NUCE,dbo,DT_SinhVienCoChungChi,BASE TABLE
EDU_NUCE,dbo,EX_EXT_MonThiDeThi,BASE TABLE
EDU_NUCE,dbo,HT_TinhHuyenXaReplaceText,BASE TABLE
EDU_NUCE,dbo,KTX_KT_DonGia,BASE TABLE
EDU_NUCE,dbo,DD_DM_ThietBi,BASE TABLE
EDU_NUCE,dbo,DM_KieuDonTui,BASE TABLE
EDU_NUCE,dbo,ACL_LoginSessionDetail,BASE TABLE
EDU_NUCE,dbo,KTX_ChiTietDotDangKySinhVien,BASE TABLE
EDU_NUCE,dbo,EX_LichThiChiTiet,BASE TABLE
EDU_NUCE,dbo,EGOV_GiaiDoanNghiemThuHopDongBaoTri,BASE TABLE
EDU_NUCE,dbo,TKB_NhomXepLichHoc,BASE TABLE
EDU_NUCE,dbo,EX_DeThi,BASE TABLE
EDU_NUCE,dbo,HT_ThamSoHeThong,BASE TABLE
EDU_NUCE,dbo,EX_NK_TongHopDiemNgoaiNgu,BASE TABLE
EDU_NUCE,dbo,KS_ChiTietDotKhaoSatSinhVien,BASE TABLE
EDU_NUCE,dbo,DTBD_TN_LoaiChungChi,BASE TABLE
EDU_NUCE,dbo,DT_ThongKeDangKyMoMon,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_NS_DangKyHocPhan_TMP,BASE TABLE
EDU_NUCE,dbo,DT_DangKyPhucKhao,BASE TABLE
EDU_NUCE,dbo,DM_LoaiMonHoc,BASE TABLE
EDU_NUCE,dbo,NK_KC_API_Customer,BASE TABLE
EDU_NUCE,dbo,DT_NhatKyKhoaDiem,BASE TABLE
EDU_NUCE,dbo,DT_SinhVienDoiTuongDoan,BASE TABLE
EDU_NUCE,dbo,TKB_LopHocPhan_LHTD,BASE TABLE
EDU_NUCE,dbo,DM_TruongPTTH_2014,BASE TABLE
EDU_NUCE,dbo,KTX_KT_KeHoachThu,BASE TABLE
EDU_NUCE,dbo,DD_DM_ThoiGianQuyUoc,BASE TABLE
EDU_NUCE,dbo,KTX_DangKyDieuChuyen,BASE TABLE
EDU_NUCE,dbo,TKB_DeXuatGioGiang,BASE TABLE
EDU_NUCE,dbo,NK_ChiTietPhieuHuyHP,BASE TABLE
