"FunctionName","FunctionType","create_date","modify_date"
Fn_LengthMaSV,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.670,2023-04-05 23:08:34.620
Fn_LH_GetMeetingId,SQL_SCALAR_FUNCTION,2021-06-01 18:39:37.023,2023-04-05 23:08:34.593
Fn_LoaiMonThuNhapHoc,SQL_SCALAR_FUNCTION,2018-01-25 14:38:37.807,2023-04-05 23:08:34.607
Fn_MaxDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:41.357,2023-04-05 23:08:34.590
Fn_MD5,SQL_SCALAR_FUNCTION,2018-01-25 14:38:37.893,2023-04-05 23:08:34.610
Fn_MinDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:41.373,2023-04-05 23:08:34.590
Fn_MinusDate,SQL_SCALAR_FUNCTION,2018-01-25 14:38:39.583,2023-04-05 23:08:34.610
Fn_MinValue,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.687,2023-04-05 23:08:34.620
fn_MultipleReplace,SQL_SCALAR_FUNCTION,2025-01-08 14:54:40.950,2025-01-08 14:54:40.950
Fn_NegativeIsZero,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.703,2023-04-05 23:08:34.620
Fn_NgaySinhE,SQL_SCALAR_FUNCTION,2019-02-25 14:58:22.233,2023-04-05 23:08:34.647
Fn_NgayThucTeLich,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.720,2023-04-05 23:08:34.623
Fn_NhanHeSoLopDong,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.740,2023-04-05 23:08:34.623
Fn_NormalizeDateTime,SQL_SCALAR_FUNCTION,2024-07-11 17:09:58.303,2024-07-11 17:09:58.303
fn_PadLeft,SQL_SCALAR_FUNCTION,2018-01-25 14:38:35.010,2023-04-05 23:08:34.680
fn_PadRightDiemMonTT,SQL_SCALAR_FUNCTION,2020-09-17 09:35:17.643,2023-04-05 23:08:34.690
Fn_RandomInterger,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.760,2023-04-05 23:08:34.623
Fn_RandomNumber,SQL_SCALAR_FUNCTION,2018-01-25 14:38:49.783,2023-04-05 23:08:34.623
Fn_RL_DinhDangSTTNhieuCap,SQL_SCALAR_FUNCTION,2022-02-21 17:46:34.143,2023-04-05 23:08:34.563
Fn_RL_GetPreStep,SQL_SCALAR_FUNCTION,2024-07-11 17:09:58.333,2024-07-11 17:09:58.333
